<awkward, 1>
<pause, 2>
<whoever, 1>
<translated, 1>
<downcast, 1>
<brightened, 1>
<spoke, 3>
<surprise, 2>
<My, 4>
<father, 3>
<taught, 1>
<fast, 2>
<alone, 6>
<ve, 11>
<correct, 2>
<pronunciation, 1>
<Here, 3>
<Schiller, 1>
<Mary, 2>
<Stuart, 1>
<loves, 1>
<teach, 5>
<laid, 1>
<lap, 1>
<smile, 6>
<afraid, 7>
<grateful, 2>
<bashful, 2>
<presence, 1>
<beside, 2>
<encourage, 1>
<passages, 1>
<perfectly, 3>
<expressionless, 1>
<manner, 1>
<comment, 1>
<innocently, 1>
<poetry, 3>
<Some, 1>
<passage, 1>
<queer, 1>
<mouth, 1>
<lament, 2>
<following, 1>
<blade, 1>
<used, 5>
<timidly, 1>
<unconsciously, 1>
<soft, 2>
<intonation, 1>
<musical, 1>
<Down, 1>
<page, 2>
<guide, 1>
<presently, 1>
<forgetting, 2>
<listener, 1>
<beauty, 2>
<sad, 1>
<scene, 2>
<giving, 1>
<touch, 1>
<tragedy, 1>
<unhappy, 1>
<If, 12>
<lesson, 2>
<spoiled, 3>
<ignoring, 1>
<mistakes, 1>
<survey, 1>
<tableau, 1>
<shut, 4>
<condescension, 1>
<accent, 1>
<reader, 1>
<advise, 2>
<valuable, 1>
<accomplishment, 1>
<teachers, 1>
<romping, 1>
<strolled, 2>
<adding, 1>
<chaperone, 1>
<odd, 1>
<people, 7>
<rather, 11>
<noses, 1>
<governesses, 1>
<treat, 1>
<retreating, 1>
<annoyed, 1>
<expression, 6>
<Tutors, 1>
<also, 1>
<sorrow, 1>
<place, 3>
<workers, 1>
<contented, 1>
<cheerful, 2>
<live, 7>
<deal, 3>
<satisfaction, 2>
<complain, 1>
<teaching, 1>
<pupil, 1>
<lose, 1>
<year, 1>
<busily, 2>
<punching, 1>
<holes, 1>
<turf, 1>
<Going, 2>
<college, 4>
<becomes, 1>
<Yes, 9>
<soldier, 1>
<needed, 1>
<mothers, 1>
<sisters, 5>
<home, 10>
<sorrowfully, 1>
<neither, 1>
<friends, 5>
<whether, 3>
<bitterly, 1>
<absently, 1>
<grave, 1>
<grandfather, 3>
<harm, 2>
<happen, 1>
<heartily, 2>
<sounds, 1>
<pleasant, 3>
<speech, 2>
<mounted, 1>
<lumbering, 1>
<display, 1>
<equestrian, 1>
<skill, 1>
<ride, 3>
<resting, 1>
<race, 1>
<others, 3>
<led, 1>
<dote, 1>
<rich, 3>
<horses, 4>
<except, 2>
<Ellen, 3>
<Tree, 3>
<laughing, 3>
<Tell, 2>
<Is, 2>
<donkey, 1>
<curiously, 1>
<crazy, 1>
<sidesaddle, 1>
<Out, 1>
<apple, 1>
<branch, 1>
<saddle, 1>
<reins, 1>
<part, 3>
<turns, 1>
<bounce, 1>
<whenever, 1>
<pony, 1>
<park, 1>
<Row, 3>
<charming, 3>
<abroad, 2>
<Rome, 2>
<remotest, 1>
<idea, 2>
<sitting, 3>
<heard, 2>
<pushed, 1>
<crutch, 1>
<impatient, 2>
<gesture, 2>
<active, 1>
<lads, 1>
<sorts, 4>
<gymnastics, 1>
<collecting, 1>
<scattered, 1>
<Author, 1>
<cards, 2>
<shy, 1>
<friendly, 2>
<tired, 1>
<Talk, 1>
<please, 7>
<dull, 2>
<answered, 3>
<evidently, 2>
<deliver, 1>
<Latin, 1>
<oration, 1>
<impossible, 1>
<task, 2>
<hide, 1>
<wistfully, 1>
<bravely, 1>
<talk, 4>
<fumbling, 1>
<dropping, 1>
<half, 4>
<tie, 1>
<hear, 3>
<cricket, 1>
<boating, 1>
<hunting, 2>
<amusements, 1>
<misfortune, 1>
<flurry, 1>
<hunt, 2>
<leaping, 1>
<confounded, 1>
<five, 1>
<barred, 1>
<hounds, 1>
<sigh, 3>
<innocent, 2>
<blunder, 1>
<deer, 2>
<prettier, 1>
<ugly, 1>
<buffaloes, 1>
<turning, 1>
<prairies, 1>
<Buffaloes, 1>
<soothing, 1>
<satisfactory, 1>
<eagerness, 1>
<amuse, 2>
<another, 2>
<unconscious, 1>
<delight, 1>
<unusual, 2>
<spectacle, 1>
