<wife, 1>
<kindly, 1>
<Take, 1>
<Thomas, 1>
<oblige, 1>
<Jimmy, 2>
<spire, 1>
<worth, 1>
<explained, 1>
<Her, 1>
<son, 1>
<strangers, 1>
<talked, 2>
<clipped, 1>
<diverted, 1>
<nicely, 3>
<Didn, 3>
<shiver, 1>
<snivel, 1>
<trifles, 1>
<confess, 1>
<rough, 1>
<almost, 3>
<arm, 1>
<leg, 1>
<picked, 1>
<lock, 2>
<past, 1>
<glories, 1>
<mane, 1>
<wavy, 1>
<chestnut, 1>
<gray, 2>
<desk, 1>
<deary, 1>
<subject, 1>
<talk, 3>
<cheerfully, 4>
<kindness, 1>
<prospect, 1>
<tomorrow, 3>
<nursed, 1>
<wanted, 2>
<bed, 5>
<o, 1>
<clock, 4>
<job, 1>
<piano, 2>
<played, 1>
<hymn, 2>
<bravely, 2>
<broke, 3>
<alone, 1>
<singing, 1>
<music, 2>
<sweet, 4>
<consoler, 1>
<sleep, 3>
<Good, 2>
<night, 6>
<darlings, 2>
<ended, 1>
<cared, 1>
<kissed, 4>
<silently, 1>
<lay, 7>
<fell, 4>
<asleep, 6>
<spite, 3>
<awake, 4>
<serious, 1>
<known, 1>
<motionless, 1>
<fancied, 1>
<stifled, 1>
<sob, 2>
<touched, 1>
<wet, 1>
<cheek, 2>
<Are, 1>
<crying, 2>
<burst, 1>
<vainly, 1>
<smother, 1>
<emotion, 1>
<pillow, 2>
<seem, 1>
<caressed, 1>
<afflicted, 1>
<tenderest, 2>
<protested, 1>
<vain, 1>
<cries, 1>
<moan, 2>
<Think, 1>
<drop, 2>
<wider, 1>
<Handsome, 1>
<dark, 1>
<Brown, 1>
<sometimes, 3>
<Blue, 1>
<lovely, 1>
<ordered, 2>
<amiably, 1>
<promised, 2>
<curl, 1>
<dream, 1>
<living, 2>
<castle, 1>
<clocks, 1>
<striking, 1>
<midnight, 1>
<figure, 1>
<glided, 1>
<smoothing, 2>
<coverlet, 1>
<settling, 1>
<pausing, 1>
<each, 4>
<blessed, 2>
<pray, 1>
<fervent, 1>
<prayers, 1>
<mothers, 1>
<utter, 1>
<lifted, 1>
<curtain, 1>
<dreary, 1>
<moon, 1>
<clouds, 2>
<shone, 1>
<benignant, 1>
<whisper, 1>
<silence, 1>
<soul, 2>
<SIXTEEN, 1>
<LETTERS, 1>
<cold, 5>
<dawn, 1>
<lit, 1>
<lamp, 1>
<chapter, 1>
<earnestness, 1>
<shadow, 1>
<books, 2>
<dressed, 1>
<goodbye, 1>
<hopefully, 1>
<send, 5>
<unsaddened, 1>
<complaints, 1>
<strange, 1>
<dim, 1>
<bustle, 1>
<within, 1>
<Breakfast, 1>
<hour, 3>
<odd, 1>
<familiar, 1>
<unnatural, 1>
<flew, 1>
<kitchen, 3>
<nightcap, 1>
<big, 3>
<hall, 1>
<cloak, 1>
<worn, 2>
<sleeplessness, 1>
<found, 3>
<resolution, 1>
<filling, 1>
<roller, 1>
<grave, 2>
<troubled, 1>
<experience, 2>
<Nobody, 2>
<waiting, 1>
<carriage, 3>
<busied, 1>
<folding, 1>
<shawl, 1>
<strings, 1>
<third, 1>
<putting, 1>
<overshoes, 1>
<fourth, 1>
<fastening, 1>
<travelling, 1>
<bag, 1>
<Children, 1>
<faithfulness, 1>
<itself, 1>
<neighbor, 1>
<guard, 1>
<fears, 2>
<rightly, 2>
<grieve, 1>
<fret, 4>
<idle, 2>
<yourselves, 1>
<being, 2>
<forget, 4>
<solace, 1>
<Hope, 2>
<whatever, 1>
<happens, 1>
<fatherless, 1>
<prudent, 1>
<watch, 1>
<consult, 2>
<perplexity, 1>
<patient, 2>
<brave, 2>
<cheer, 1>
<faithful, 2>
<obedient, 1>
<safe, 2>
<rattle, 1>
<approaching, 1>
<listen, 1>
<uttered, 1>
<lamentation, 1>
<hearts, 3>
<loving, 2>
<messages, 1>
<deliver, 1>
<clung, 1>
<wave, 1>
<drove, 1>
<grandfather, 1>
