<Brooke, 3>
<interested, 2>
<news, 1>
<uncomfortable, 1>
<bereft, 1>
<wife, 6>
<merely, 1>
<nursery, 4>
<perpetual, 1>
<hushing, 1>
<brutal, 1>
<intruder, 1>
<whenever, 1>
<entered, 2>
<sacred, 1>
<precincts, 1>
<Babyland, 1>
<bore, 2>
<patiently, 1>
<six, 1>
<amendment, 1>
<appeared, 1>
<paternal, 4>
<exiles, 1>
<tried, 6>
<elsewhere, 1>
<Scott, 4>
<gone, 4>
<housekeeping, 1>
<running, 2>
<parlor, 4>
<singing, 1>
<lullabies, 1>
<performed, 1>
<mission, 2>
<successfully, 1>
<always, 10>
<attractive, 1>
<chessboard, 1>
<piano, 1>
<tune, 2>
<gossip, 1>
<forth, 1>
<tempting, 1>
<fireside, 1>
<lonely, 1>
<neighbor, 2>
<approved, 1>
<dozing, 1>
<tramping, 1>
<waking, 1>
<teething, 1>
<worry, 2>
<idols, 1>
<proper, 1>
<hours, 1>
<Mamma, 9>
<miss, 1>
<workbasket, 1>
<sitting, 1>
<opposite, 1>
<dressing, 1>
<gown, 1>
<comfortably, 2>
<scorching, 1>
<fender, 1>
<injured, 2>
<forgetting, 1>
<evenings, 1>
<waited, 2>
<vain, 2>
<watching, 2>
<unreasonable, 1>
<frame, 1>
<mothers, 2>
<occasionally, 2>
<cares, 2>
<oppress, 1>
<Want, 1>
<exercise, 4>
<robs, 1>
<cheerfulness, 1>
<idol, 1>
<women, 5>
<teapot, 2>
<nerve, 1>
<muscle, 1>
<glass, 1>
<getting, 4>
<ugly, 1>
<longer, 2>
<leaves, 1>
<faded, 1>
<goes, 3>
<incumbrances, 1>
<love, 8>
<thin, 1>
<pale, 1>
<haven, 1>
<crimp, 1>
<ve, 6>
<gladly, 2>
<sacrificed, 1>
<To, 1>
<pathetic, 1>
<appeal, 1>
<coo, 1>
<crow, 1>
<lamentations, 1>
<revel, 3>
<soothed, 1>
<solitude, 1>
<pain, 1>
<increased, 1>
<politics, 4>
<discuss, 1>
<unconscious, 1>
<tears, 2>
<insisted, 2>
<matter, 3>
<drooping, 1>
<escaped, 1>
<observation, 1>
<wouldn, 3>
<anyone, 1>
<need, 5>
<advice, 2>
<widowed, 1>
<drying, 1>
<bib, 1>
<Goes, 1>
<anxiously, 1>
<continually, 1>
<Scotts, 2>
<hardest, 1>
<Men, 1>
<selfish, 2>
<Don, 6>
<blame, 1>
<wrong, 1>
<neglect, 4>
<part, 5>
<sympathizing, 1>
<fault, 1>
<yours, 5>
<Let, 3>
<Did, 1>
