<rumpling, 1>
<friend, 3>
<Annie, 1>
<Moffat, 1>
<fancy, 5>
<spend, 1>
<week, 3>
<opera, 1>
<perfectly, 2>
<Mother, 6>
<lets, 2>
<cheering, 1>
<man, 4>
<Was, 1>
<His, 2>
<auburn, 1>
<delicious, 1>
<redowa, 1>
<grasshopper, 1>
<fit, 3>
<new, 1>
<couldn, 10>
<laughing, 3>
<rude, 2>
<adventures, 2>
<With, 3>
<thanks, 1>
<crept, 1>
<hoping, 2>
<instant, 1>
<creaked, 1>
<nightcaps, 1>
<bobbed, 1>
<sleepy, 2>
<voices, 1>
<Tell, 4>
<great, 10>
<manners, 2>
<saved, 1>
<subsided, 1>
<hearing, 1>
<thrilling, 2>
<events, 1>
<evening, 2>
<declare, 1>
<really, 3>
<seems, 1>
<sit, 3>
<maid, 1>
<wait, 4>
<bound, 1>
<arnica, 1>
<brushed, 2>
<themselves, 1>
<more, 13>
<spite, 7>
<gowns, 3>
<apiece, 1>
<sprain, 1>
<ankles, 1>
<wear, 4>
<CHAPTER, 2>
<FOUR, 1>
<BURDENS, 1>
<packs, 1>
<sighed, 1>
<morning, 5>
<holidays, 1>
<merrymaking, 1>
<easily, 1>
<task, 1>
<New, 1>
<Year, 1>
<Wouldn, 2>
<yawning, 1>
<shouldn, 2>
<ourselves, 1>
<half, 3>
<suppers, 1>
<bouquets, 3>
<drive, 3>
<work, 7>
<envy, 3>
<fond, 2>
<luxury, 4>
<decide, 1>
<shabby, 3>
<least, 2>
<grumble, 1>
<bundles, 1>
<trudge, 1>
<cheerfully, 3>
<regular, 4>
<Old, 1>
<Man, 1>
<Sea, 1>
<learned, 3>
<carry, 1>
<complaining, 2>
<tumble, 1>
<shan, 1>
<This, 2>
<tickled, 1>
<spirits, 2>
<brighten, 1>
<burden, 1>
<consisting, 1>
<four, 4>
<spoiled, 3>
<children, 5>
<heavier, 1>
<heart, 6>
<usual, 1>
<putting, 4>
<neck, 1>
<ribbon, 1>
<becoming, 1>
<Where, 1>
<use, 4>
<sees, 2>
<cross, 3>
<midgets, 1>
<cares, 1>
<muttered, 1>
<shutting, 1>
<drawer, 1>
<jerk, 1>
<toil, 1>
<moil, 1>
<days, 2>
<bits, 2>
<ugly, 2>
<sour, 1>
<shame, 3>
<wearing, 1>
<injured, 1>
<wasn, 1>
<agreeable, 1>
<breakfast, 1>
<Everyone, 1>
<sorts, 1>
<inclined, 1>
<croak, 2>
<headache, 2>
<lay, 1>
<kittens, 2>
<fretting, 1>
<lessons, 4>
<whistle, 1>
<racket, 1>
<getting, 3>
<ready, 2>
<busy, 5>
<finish, 1>
<letter, 2>
<must, 2>
<grumps, 1>
<late, 1>
<suit, 3>
<losing, 1>
<temper, 2>
<inkstand, 1>
<broken, 2>
